epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4312,2.01707,4.06341,2.58001,0.82332,0.28125,0.28395,0.16456,1.41522,32.6525,2.30736,0.00011669,0.00011669,0.00011669
2,196.181,1.70879,2.7083,2.19302,0.75339,0.22489,0.18477,0.05881,2.41883,39.1811,3.46694,0.000250048,0.000250048,0.000250048
3,291.13,1.66429,2.16303,2.07241,0.16856,0.14062,0.13365,0.03029,3.10217,78.6287,4.60173,0.000383395,0.000383395,0.000383395
4,387.393,1.69737,2.05393,2.12926,0.80833,0.25,0.24829,0.1124,2.12954,30.1549,3.62965,0.000516725,0.000516725,0.000516725
5,476.279,1.67658,2.09354,2.09812,0.63571,0.29688,0.13477,0.05377,1.86755,32.037,4.3844,0.000650028,0.000650028,0.000650028
6,571.392,1.71412,1.97728,2.13747,0.02036,0.14062,0.00944,0.00248,4.02907,528.416,123.949,0.000783299,0.000783299,0.000783299
7,648.441,1.73777,1.98973,2.15048,0.00477,0.14062,0.00412,0.00112,nan,nan,nan,0.000916528,0.000916528,0.000916528
8,737.523,1.82839,2.18012,2.25576,0.00765,0.15625,0.00648,0.00095,nan,nan,nan,0.00104971,0.00104971,0.00104971
9,828.952,1.66186,2.01974,2.10207,0,0,0,0,nan,nan,nan,0.00118283,0.00118283,0.00118283
10,916.048,1.80427,2.02218,2.20315,0,0,0,0,nan,nan,nan,0.00131589,0.00131589,0.00131589
11,998.728,1.94101,2.10159,2.34795,0.00248,0.04688,0.00155,0.00039,4.72749,inf,197.696,0.00144887,0.00144887,0.00144887
12,1078.51,1.76715,1.94081,2.18366,0.00093,0.01562,0.00084,0.00025,5.37516,inf,676.098,0.00158178,0.00158178,0.00158178
13,1162.04,1.78875,1.80513,2.15021,0.00741,0.25,0.00851,0.00247,3.38338,inf,232.753,0.00166466,0.00166466,0.00166466
14,1248.35,1.93057,2.06637,2.27166,0.51333,0.03125,0.00902,0.0038,3.17869,56.9037,7.57767,0.00166425,0.00166425,0.00166425
15,1334.13,1.77684,1.86424,2.15633,0.00316,0.03125,0.00066,0.00011,4.69171,124.915,11.9228,0.00166381,0.00166381,0.00166381
16,1422.26,1.80083,1.98262,2.15667,0.00178,0.0625,0.00237,0.00024,4.47432,272.274,21.2391,0.00166334,0.00166334,0.00166334
17,1506.12,1.81161,1.93792,2.17531,0.00105,0.04688,0.00053,7e-05,5.15364,inf,174.223,0.00166283,0.00166283,0.00166283
18,1590.74,1.66249,1.78319,2.12583,0.00049,0.01562,0.00023,0.00011,5.19209,inf,487.416,0.0016623,0.0016623,0.0016623
19,1680.83,1.73007,1.83652,2.1332,0.5337,0.10938,0.01271,0.0028,3.89448,5.3078,4.92923,0.00166173,0.00166173,0.00166173
20,1769.26,1.67054,1.86189,2.10348,0.75511,0.23438,0.19047,0.06742,2.8474,3.27766,4.87837,0.00166113,0.00166113,0.00166113
21,1854.22,1.71253,1.82641,2.09079,0.53009,0.09375,0.01408,0.00442,2.7465,4.61696,4.28079,0.00166049,0.00166049,0.00166049
22,1944.05,1.67682,1.74007,2.10481,0.51396,0.01562,0.01153,0.00264,2.67516,4.11364,4.12061,0.00165983,0.00165983,0.00165983
23,2033.91,1.66483,1.758,2.07593,0.64879,0.125,0.11072,0.04013,2.10111,3.62837,3.17963,0.00165913,0.00165913,0.00165913
24,2125.35,1.67703,1.6477,2.14761,0.55186,0.21875,0.04052,0.01116,2.78239,4.41423,4.08955,0.0016584,0.0016584,0.0016584
25,2215.72,1.66651,1.79124,2.07444,0.65166,0.21875,0.15368,0.06218,2.1154,5.69181,3.30493,0.00165764,0.00165764,0.00165764
26,2302.64,1.73649,1.82139,2.14516,0.73706,0.14062,0.12375,0.03634,2.38429,3.32952,3.74577,0.00165684,0.00165684,0.00165684
27,2393.59,1.55649,1.66524,1.98404,0.60608,0.28194,0.11255,0.04685,2.12274,5.95576,3.55918,0.00165601,0.00165601,0.00165601
28,2484.21,1.64189,1.76011,2.05604,0.52337,0.26562,0.01774,0.00743,2.16431,14.3664,3.5155,0.00165515,0.00165515,0.00165515
29,2574.9,1.6311,1.70604,2.04256,0.74333,0.15625,0.19334,0.07242,1.99941,4.31014,2.9474,0.00165426,0.00165426,0.00165426
30,2668.71,1.5871,1.69692,2.02776,0.65509,0.29688,0.17466,0.07333,1.79038,3.08132,2.64557,0.00165334,0.00165334,0.00165334
31,2759.71,1.59685,1.66681,2.00883,0.77702,0.26562,0.24096,0.1318,1.6577,3.28306,2.47361,0.00165238,0.00165238,0.00165238
32,2846.25,1.61846,1.71857,2.00973,0.62993,0.26886,0.11115,0.0495,2.07041,3.48869,2.88123,0.0016514,0.0016514,0.0016514
33,2937.46,1.58968,1.58049,1.99435,0.60463,0.26054,0.09435,0.0241,2.47657,3.06733,3.3147,0.00165038,0.00165038,0.00165038
34,3029.75,1.61793,1.6351,2.06799,0.77405,0.29688,0.2766,0.11254,2.13138,2.73669,3.14352,0.00164933,0.00164933,0.00164933
35,3117.64,1.61039,1.60391,2.05937,0.59824,0.17579,0.08206,0.01593,2.68658,3.58408,3.80702,0.00164824,0.00164824,0.00164824
