epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90458,1.9419,3.47425,2.39643,0.00294,0.98438,0.07545,0.02471,1.26418,3.31211,2.24583,5.001e-05,5.001e-05,5.001e-05
2,7.62929,1.94266,3.44672,2.41529,0.00292,0.98438,0.16884,0.04907,1.2413,3.33214,2.19698,0.000116689,0.000116689,0.000116689
3,10.4548,1.6976,3.14228,2.16126,0.0063,0.89062,0.18983,0.06638,1.77619,3.37977,2.59419,0.000183363,0.000183363,0.000183363
4,12.7758,1.49863,2.60396,2.0584,0.00466,0.89062,0.25267,0.11497,1.73192,3.25223,2.59635,0.000250028,0.000250028,0.000250028
5,15.0322,1.45423,2.37169,1.95811,0.00552,0.85938,0.13313,0.04412,2.08982,3.34186,3.17216,0.00031668,0.00031668,0.00031668
6,17.4027,1.37851,2.2539,1.863,0.00687,0.9375,0.2669,0.12282,1.61784,2.94718,2.80031,0.000383316,0.000383316,0.000383316
7,19.839,1.35069,2.02935,1.82105,1,0.05861,0.28453,0.13113,1.61816,2.7713,2.65543,0.000449932,0.000449932,0.000449932
8,22.2571,1.41115,2.09783,1.86266,0.83478,0.03125,0.19484,0.09796,1.5645,2.8266,2.35633,0.000516523,0.000516523,0.000516523
9,24.469,1.40606,2.04791,1.86921,0.69625,0.125,0.14376,0.05602,2.11338,2.84756,3.6701,0.000583085,0.000583085,0.000583085
10,26.7943,1.43595,1.97795,1.87792,0.68624,0.1875,0.18993,0.06702,1.6559,2.90617,2.6823,0.000649616,0.000649616,0.000649616
11,29.0989,1.48995,1.97018,1.92499,0.69272,0.09818,0.14142,0.04593,1.97636,2.86671,2.97541,0.00071611,0.00071611,0.00071611
12,31.3376,1.47619,1.99486,1.90253,0.79525,0.15625,0.18356,0.06382,1.9665,2.71114,2.89622,0.000782564,0.000782564,0.000782564
13,33.6843,1.42995,2.01174,1.90911,0.76314,0.28125,0.29834,0.10951,1.82197,2.44449,2.9748,0.000848974,0.000848974,0.000848974
14,36.1083,1.43847,1.84621,1.83249,0.83655,0.17188,0.23326,0.11054,1.69777,2.5544,2.64969,0.000915337,0.000915337,0.000915337
15,38.2759,1.41091,1.81706,1.8977,0.76756,0.17188,0.19642,0.09133,2.09137,2.74018,2.83713,0.000981648,0.000981648,0.000981648
16,40.6195,1.39245,1.74013,1.85446,0.80334,0.26562,0.29216,0.14435,1.70078,2.2833,2.56887,0.0010479,0.0010479,0.0010479
17,43.126,1.44571,1.74887,1.82045,0.68571,0.29688,0.25937,0.11245,1.72502,2.42442,2.71059,0.0011141,0.0011141,0.0011141
18,45.4679,1.39701,1.6966,1.82324,0.791,0.26562,0.29361,0.13486,1.55963,2.35339,2.45385,0.00118023,0.00118023,0.00118023
19,47.8422,1.4169,1.76387,1.84377,0.65416,0.2717,0.20708,0.10304,1.88132,2.86189,3.28389,0.0012463,0.0012463,0.0012463
20,50.1051,1.3925,1.73356,1.8445,0.68557,0.23985,0.19133,0.07195,2.43384,3.14734,3.96915,0.00131229,0.00131229,0.00131229
21,52.4698,1.4152,1.6364,1.77398,0.64158,0.25,0.18129,0.06475,2.18424,3.54079,3.32467,0.00137821,0.00137821,0.00137821
22,54.7973,1.45218,1.67651,1.88934,0.88155,0.28125,0.33006,0.15721,1.79493,2.10513,2.79221,0.00144405,0.00144405,0.00144405
23,57.3861,1.31387,1.59696,1.78682,0.94736,0.26556,0.31733,0.17304,1.68977,2.17903,2.72466,0.00150981,0.00150981,0.00150981
24,59.8864,1.37594,1.60542,1.81167,0.86782,0.26562,0.29449,0.12856,2.08753,2.46661,3.48155,0.00157548,0.00157548,0.00157548
25,62.3099,1.39844,1.6523,1.7789,0.92544,0.23438,0.26995,0.11801,2.01872,2.42963,3.29266,0.00164106,0.00164106,0.00164106
26,64.772,1.49847,1.65582,1.87558,0.94234,0.23992,0.29244,0.11676,2.31687,2.24057,3.47212,0.00165684,0.00165684,0.00165684
27,67.0817,1.38529,1.57651,1.81068,0.83413,0.21875,0.21913,0.06933,2.16371,2.40123,3.01555,0.00165601,0.00165601,0.00165601
28,69.4058,1.46422,1.62155,1.90661,0.67411,0.20312,0.14265,0.03653,2.7113,2.76729,3.74787,0.00165515,0.00165515,0.00165515
29,71.6129,1.41412,1.53754,1.82163,0.762,0.25814,0.21006,0.07484,2.44294,2.44348,3.76756,0.00165426,0.00165426,0.00165426
30,73.9406,1.43023,1.53177,1.85174,0.7933,0.19968,0.21427,0.0458,2.35527,3.67035,4.13596,0.00165334,0.00165334,0.00165334
31,76.1625,1.39663,1.5673,1.80885,0.60105,0.25,0.10193,0.05103,1.90134,4.35837,3.44187,0.00165238,0.00165238,0.00165238
32,78.4639,1.44947,1.61521,1.83097,0.50115,0.15625,0.00149,0.0004,3.37319,23.517,3.72287,0.0016514,0.0016514,0.0016514
33,80.6436,1.42153,1.55459,1.8821,0.50096,0.10938,0.00065,0.00019,3.31331,27.978,3.88539,0.00165038,0.00165038,0.00165038
34,82.907,1.49117,1.63948,1.90399,0.51489,0.07812,0.01101,0.00386,2.33622,17.0791,3.21427,0.00164933,0.00164933,0.00164933
35,85.1696,1.44431,1.5354,1.90654,0.59877,0.23438,0.11299,0.04411,2.23751,4.94927,3.34004,0.00164824,0.00164824,0.00164824
36,87.4974,1.54124,1.57366,1.92307,0.80042,0.17188,0.18361,0.08374,2.31449,3.76591,3.38243,0.00164713,0.00164713,0.00164713
37,89.6272,1.45884,1.46756,1.8621,0.76225,0.20312,0.20816,0.08566,2.4499,2.71534,3.49656,0.00164598,0.00164598,0.00164598
38,91.8604,1.4253,1.38323,1.85997,0.86275,0.29688,0.30566,0.16612,1.88195,2.44474,3.0897,0.0016448,0.0016448,0.0016448
