epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5855,2.29098,4.69865,2.6928,0.03295,0.12901,0.02351,0.00762,1.65159,4.84677,2.47744,5.001e-05,5.001e-05,5.001e-05
2,91.5647,2.2622,4.53401,2.68053,0.03118,0.10938,0.01685,0.00507,1.70768,4.86169,2.50997,0.000116689,0.000116689,0.000116689
3,136.095,1.93272,3.66634,2.41699,0.54524,0.03125,0.01918,0.00468,1.84499,6.75058,2.75808,0.000183363,0.000183363,0.000183363
4,176.669,1.62082,2.50538,2.11197,0.64077,0.17188,0.1585,0.04612,1.92513,3.60787,2.81114,0.000250028,0.000250028,0.000250028
5,217.66,1.47572,2.07809,1.97285,0.71084,0.25,0.17506,0.06674,1.95562,3.07255,2.97498,0.00031668,0.00031668,0.00031668
6,258.275,1.41967,1.79566,1.89205,0.6985,0.26562,0.17192,0.05841,2.30841,4.44147,3.78154,0.000383316,0.000383316,0.000383316
7,298.864,1.4174,1.70364,1.87877,0.7718,0.25,0.20969,0.10133,1.90009,2.75969,3.24118,0.000449932,0.000449932,0.000449932
8,339.367,1.5275,1.755,1.92453,0.54564,0.20312,0.03237,0.01669,2.08079,3.89942,3.31815,0.000516523,0.000516523,0.000516523
9,380.197,1.41334,1.57444,1.88572,0.73827,0.1875,0.15288,0.04424,2.63931,4.56737,4.88577,0.000583085,0.000583085,0.000583085
10,421.347,1.52383,1.55173,1.94931,0.75689,0.15625,0.13487,0.05286,2.38242,2.68003,3.97686,0.000649616,0.000649616,0.000649616
11,460.966,1.56288,1.55528,1.96858,0.61844,0.09375,0.04326,0.01181,3.43394,2.90001,4.18606,0.00071611,0.00071611,0.00071611
12,499.871,1.55859,1.62641,1.94948,0.53595,0.17188,0.03799,0.00915,2.67765,47.9999,4.71015,0.000782564,0.000782564,0.000782564
13,539.735,1.51788,1.63581,1.93102,0.62195,0.15625,0.07947,0.03002,2.49423,18.8316,4.84222,0.000848974,0.000848974,0.000848974
14,579.399,1.54261,1.53302,1.88094,0.52787,0.26562,0.02767,0.0076,2.68456,92.9845,5.94298,0.000915337,0.000915337,0.000915337
15,620.87,1.50787,1.45964,1.96034,0.56296,0.26562,0.07122,0.02516,2.16063,50.6025,4.44179,0.000981648,0.000981648,0.000981648
